target,model,fold,n_train,n_test,test_start,test_end,fold_majority,accuracy,precision,recall,f1,roc_auc
target_1d,LogisticRegression,1,11134,4200,2017-05-08,2019-02-21,0.605952380952381,0.5754761904761905,0.3683127572016461,0.1081570996978852,0.16721158337225595,0.49669976673650723
target_1d,RandomForest,1,11134,4200,2017-05-08,2019-02-21,0.605952380952381,0.5992857142857143,0.4703389830508475,0.13413897280966766,0.20874471086036672,0.5371340048314627
target_1d,XGBoost,1,11134,4200,2017-05-08,2019-02-21,0.605952380952381,0.5680952380952381,0.4323404255319149,0.30694864048338366,0.35901060070671376,0.5352227874097069
target_1d,LogisticRegression,2,15334,4078,2019-02-24,2021-02-18,0.5358018636586562,0.5367827366356057,0.5037174721189591,0.14315900686740624,0.22295351707116412,0.5461337143589353
target_1d,RandomForest,2,15334,4078,2019-02-24,2021-02-18,0.5358018636586562,0.5514958312898479,0.5592592592592592,0.1595351294241944,0.24825318536785862,0.5735177535929674
target_1d,XGBoost,2,15334,4078,2019-02-24,2021-02-18,0.5358018636586562,0.5473271211378127,0.5352323838080959,0.18858954041204437,0.27890625,0.5621238550797167
target_1d,LogisticRegression,3,19412,4115,2021-02-21,2022-11-27,0.5963547995139733,0.5931956257594168,0.47257383966244726,0.06742925948223961,0.11801896733403583,0.551246364779615
target_1d,RandomForest,3,19412,4115,2021-02-21,2022-11-27,0.5963547995139733,0.6082624544349939,0.5406301824212272,0.1962673088500903,0.2879858657243816,0.567646379107057
target_1d,XGBoost,3,19412,4115,2021-02-21,2022-11-27,0.5963547995139733,0.591494532199271,0.4891540130151844,0.271523178807947,0.3492063492063492,0.5603050371262291
target_1d,LogisticRegression,4,23527,4616,2022-11-28,2024-09-26,0.5701906412478337,0.5777729636048526,0.5605536332179931,0.08165322580645161,0.14254289485261767,0.5277955023164036
target_1d,RandomForest,4,23527,4616,2022-11-28,2024-09-26,0.5701906412478337,0.5792894280762565,0.5416666666666666,0.1376008064516129,0.21945337620578778,0.5437906749436219
target_1d,XGBoost,4,23527,4616,2022-11-28,2024-09-26,0.5701906412478337,0.5769064124783362,0.5218002812939522,0.18699596774193547,0.2753246753246753,0.5445164660751054
target_1d,LogisticRegression,5,28143,4719,2024-09-29,2026-08-17,0.5598643780461963,0.5515999152362788,0.4360655737704918,0.0640346653827636,0.11167086481947942,0.5068634994060977
target_1d,RandomForest,5,28143,4719,2024-09-29,2026-08-17,0.5598643780461963,0.5609239245602882,0.5062972292191436,0.0967741935483871,0.16248989490703314,0.5252985275084857
target_1d,XGBoost,5,28143,4719,2024-09-29,2026-08-17,0.5598643780461963,0.554354736172918,0.4815340909090909,0.16321617717862302,0.24379719525350593,0.5309756800719607
target_5d,LogisticRegression,1,11094,4200,2017-05-08,2019-02-21,0.6526190476190477,0.5352380952380953,0.34329307056579783,0.3701165181631254,0.3562005277044855,0.5003847097323186
target_5d,RandomForest,1,11094,4200,2017-05-08,2019-02-21,0.6526190476190477,0.5630952380952381,0.36176470588235293,0.33721727210418095,0.34905995033699894,0.507720825511819
target_5d,XGBoost,1,11094,4200,2017-05-08,2019-02-21,0.6526190476190477,0.5330952380952381,0.3570615034168565,0.4297464016449623,0.3900466562986003,0.5085372553304865
target_5d,LogisticRegression,2,15295,4078,2019-02-24,2021-02-18,0.5259931338891614,0.5149583128984796,0.5686113393590797,0.3226107226107226,0.4116597263533611,0.534066278608441
target_5d,RandomForest,2,15295,4078,2019-02-24,2021-02-18,0.5259931338891614,0.5063756743501716,0.5720524017467249,0.2442890442890443,0.3423717739300882,0.5317316585811154
target_5d,XGBoost,2,15295,4078,2019-02-24,2021-02-18,0.5259931338891614,0.49950956351152526,0.5691489361702128,0.19953379953379954,0.2954780807732137,0.5262837696878048
target_5d,LogisticRegression,3,19372,4115,2021-02-21,2022-11-27,0.5939246658566222,0.5696233292831105,0.448559670781893,0.26092160383004187,0.3299281119939463,0.5566944928456063
target_5d,RandomForest,3,19372,4115,2021-02-21,2022-11-27,0.5939246658566222,0.5725394896719319,0.4623287671232877,0.3231597845601436,0.3804156393096161,0.5560113263616071
target_5d,XGBoost,3,19372,4115,2021-02-21,2022-11-27,0.5939246658566222,0.5642770352369381,0.45667613636363635,0.38479952124476363,0.4176680740500162,0.5545552512730403
target_5d,LogisticRegression,4,23492,4616,2022-11-28,2024-09-26,0.5545927209705372,0.5402946273830156,0.46325167037861914,0.20233463035019456,0.28165199729180773,0.4859492795476653
target_5d,RandomForest,4,23492,4616,2022-11-28,2024-09-26,0.5545927209705372,0.529896013864818,0.4263565891472868,0.1605058365758755,0.2332155477031802,0.48122644090466926
target_5d,XGBoost,4,23492,4616,2022-11-28,2024-09-26,0.5545927209705372,0.5337954939341422,0.44545454545454544,0.19066147859922178,0.2670299727520436,0.4970698375182393
target_5d,LogisticRegression,5,28099,4719,2024-09-29,2026-08-17,0.5581691036236491,0.5259588895952533,0.39355742296918766,0.13477218225419665,0.20078599499821365,0.46987248470016696
target_5d,RandomForest,5,28099,4719,2024-09-29,2026-08-17,0.5581691036236491,0.532316168679805,0.4138418079096045,0.1405275779376499,0.20981023988542785,0.48091367452734857
target_5d,XGBoost,5,28099,4719,2024-09-29,2026-08-17,0.5581691036236491,0.5357067175248993,0.4460285132382892,0.21007194244604316,0.28562112813824586,0.495420611119305
