date,equity
2017-05-08,996275.0
2017-05-09,1010899.956186547
2017-05-11,1022249.1151284723
2017-05-15,1024634.48186019
2017-05-16,1019654.5470045364
2017-05-17,1013699.1325484135
2017-05-18,1013142.707602348
2017-05-21,998252.3015562921
2017-05-22,987333.9187242045
2017-05-23,993838.6492314435
2017-05-24,995794.0762309097
2017-05-28,981056.0357874654
2017-05-30,971748.9536192743
2017-05-31,974882.634735299
2017-06-01,972825.4365924642
2017-06-04,962946.9459934665
2017-06-05,970154.5291227951
2017-06-06,991937.3046763067
2017-06-07,980213.8635134638
2017-06-08,977133.6587578147
2017-06-11,958069.1769851632
2017-06-12,949017.9612128498
2017-06-13,952936.7397848839
2017-06-14,962725.4132879882
2017-06-15,960931.587222592
2017-06-18,950758.3777718799
2017-06-19,940424.2667057732
2017-06-20,935974.8781561578
2017-06-21,920378.0981641028
2017-06-22,928759.7628677787
2017-06-25,932517.3243787736
2017-06-27,930709.7152434195
2017-06-28,929523.9703385304
2017-07-02,915545.0391158453
2017-07-03,920153.4225562763
2017-07-04,915214.1252935993
2017-07-05,927295.5924843485
2017-07-06,950715.8581452006
2017-07-09,949245.6067851235
2017-07-10,937055.7232890386
2017-07-11,941377.1782679879
2017-07-12,941022.699690594
2017-07-13,938683.1273755637
2017-07-16,938690.2245927312
2017-07-17,955021.7125371136
2017-07-18,982631.6437245676
2017-07-19,978063.7221692356
2017-07-20,979027.1014569829
2017-07-23,980756.2596667438
2017-07-24,974870.5094599596
2017-07-25,976166.9852386855
2017-07-26,988481.4339090424
2017-07-27,987712.4003770774
2017-07-30,987330.3107630638
2017-07-31,995138.8862527754
2017-08-01,992583.6040501032
2017-08-02,994815.000029638
2017-08-03,991532.6833290583
2017-08-06,988954.1071616706
2017-08-07,992821.7163464128
2017-08-09,991738.0072131343
2017-08-10,990608.0627838552
2017-08-13,980278.1473748313
2017-08-15,970797.609256697
2017-08-16,971350.827509188
2017-08-17,974532.4175112695
2017-08-20,967564.9831017549
2017-08-21,965835.7866686967
2017-08-22,967036.3426648846
2017-08-23,964842.8443748889
2017-08-24,971998.6396661333
2017-08-27,966841.9709714946
2017-08-28,968105.6255623974
2017-08-30,958298.5397995288
2017-08-31,946673.6768369033
2017-09-04,930445.3927290911
2017-09-06,942674.1185799633
2017-09-07,931533.7897466297
2017-09-10,909787.7559959714
2017-09-11,911156.7173813634
2017-09-12,875550.4908290931
2017-09-13,871378.0914821593
2017-09-14,885774.9145068827
2017-09-17,893163.2325113807
2017-09-18,892913.1153073034
2017-09-20,891671.0789066235
2017-09-24,888291.9455863433
2017-09-25,895060.9761112279
2017-09-26,913754.4111177959
2017-10-03,926939.8511512838
2017-10-04,894399.7633830038
2017-10-08,877395.7433940361
2017-10-09,872447.0939385352
2017-10-10,873936.8226197889
2017-10-11,878792.0436251162
2017-10-12,876970.8377577493
2017-10-15,880972.194406089
2017-10-16,910049.0616406131
2017-10-17,905935.4041867993
2017-10-18,910980.5402282712
2017-10-22,911912.4298610077
2017-10-23,882746.4484560727
2017-10-24,876608.695227183
2017-10-25,861450.3737653876
2017-10-29,853386.6274381275
2017-10-30,852254.748255455
2017-10-31,849193.6058452349
2017-11-01,843826.5789093848
2017-11-02,842545.1854711517
2017-11-05,831657.4899713665
2017-11-06,829810.0176351898
2017-11-07,824805.690470536
2017-11-08,812407.74338768
